None,A,C,B,D,F,E,ignore,G,ignore,perfect
0.333333,0.326087,0.310345,0.333333,0.321429,0.321429,0.321429,0.333333,0.310345,0.310345,0.321429
0.384615,0.357143,0.405405,0.384615,0.348837,0.441176,0.441176,0.405405,0.441176,0.405405,0.441176
0.233333,0.227273,0.250000,0.241379,0.217391,0.227273,0.250000,0.250000,0.250000,0.227273,0.250000
0.233333,0.241379,0.272727,0.233333,0.259259,0.304348,0.272727,0.272727,0.272727,0.259259,0.272727
0.369565,0.382353,0.387097,0.377778,0.386364,0.387097,0.387097,0.387097,0.387097,0.416667,0.387097
0.281250,0.269231,0.304348,0.290323,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348,0.304348
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.382353,-1.000000,0.400000,0.382353,0.474576,0.382353
0.160000,0.150000,0.157895,0.166667,0.157895,0.157895,0.157895,0.157895,0.157895,0.166667,0.157895
0.241379,0.238095,0.250000,0.250000,0.250000,0.263158,0.263158,0.263158,0.263158,0.250000,0.263158
0.173913,0.190476,0.181818,0.173913,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.157895
0.317073,0.333333,0.343750,0.317073,0.315789,0.384615,0.344828,0.357143,0.360000,0.344828,0.391304
-1.000000,-1.000000,0.500000,-1.000000,-1.000000,0.538462,0.508772,0.500000,0.500000,0.500000,0.538462
0.403509,0.403509,0.300000,0.403509,0.403509,0.300000,0.300000,0.333333,0.333333,0.409091,0.300000
0.388889,0.388889,0.384615,0.388889,0.377778,0.390244,0.384615,0.394737,0.394737,0.377778,0.405405
0.303030,0.322581,0.333333,0.303030,0.312500,0.333333,0.333333,0.333333,0.333333,0.312500,0.291667
0.333333,0.281250,0.263158,0.315789,0.324324,0.263158,0.263158,0.300000,0.263158,0.333333,0.263158
0.130435,0.055556,0.058824,0.130435,0.058824,0.058824,0.058824,0.058824,0.058824,0.130435,0.058824
0.160000,0.160000,0.181818,0.160000,0.160000,0.200000,0.200000,0.190476,0.200000,0.160000,0.200000
0.342105,0.361111,0.366667,0.351351,0.366667,0.366667,0.366667,0.366667,0.366667,0.366667,0.370370
0.257143,0.240000,0.210526,0.264706,0.272727,0.210526,0.210526,0.210526,0.210526,0.210526,0.210526
0.324324,0.111111,0.111111,0.324324,0.111111,0.111111,0.111111,0.111111,0.111111,0.285714,0.111111
0.136364,0.150000,0.157895,0.142857,0.157895,0.157895,0.157895,0.157895,0.157895,0.150000,0.157895
0.192308,0.200000,0.166667,0.200000,0.208333,0.166667,0.166667,0.166667,0.166667,0.200000,0.166667
0.340909,0.350000,0.354839,0.340909,0.333333,0.333333,0.354839,0.333333,0.333333,0.354839,0.333333
0.266667,0.269231,0.280000,0.266667,0.280000,0.280000,0.280000,0.280000,0.280000,0.285714,0.280000
0.166667,0.160000,0.200000,0.166667,0.181818,0.200000,0.200000,0.210526,0.210526,0.181818,0.210526
0.343750,0.354839,0.379310,0.333333,0.343750,0.305556,0.333333,0.379310,0.379310,0.343750,0.400000
0.225806,0.259259,0.260870,0.241379,0.250000,0.260870,0.260870,0.260870,0.260870,0.241379,0.260870
0.305556,0.269231,0.272727,0.269231,0.272727,0.272727,0.272727,0.272727,0.272727,0.269231,0.272727
0.166667,0.157895,0.166667,0.181818,0.166667,0.166667,0.166667,0.166667,0.166667,0.200000,0.166667
0.340909,0.358974,0.304348,0.341463,0.341463,0.304348,0.304348,0.304348,0.304348,0.342857,0.315789
0.206897,0.105263,0.111111,0.100000,0.111111,0.111111,0.111111,0.111111,0.111111,0.105263,0.111111
0.375000,0.391304,0.391304,0.375000,0.382979,0.425000,0.409091,0.425000,0.425000,0.400000,0.425000
0.241379,0.241379,0.272727,0.250000,0.260870,0.260870,0.272727,0.272727,0.272727,0.260870,0.272727
0.294118,0.322581,0.322581,0.294118,0.303030,0.322581,0.322581,0.322581,0.322581,0.322581,0.322581
0.272727,0.285714,0.263158,0.266667,0.266667,0.263158,0.263158,0.263158,0.263158,0.266667,0.263158
0.100000,0.111111,0.105263,0.111111,0.105263,0.105263,0.105263,0.105263,0.105263,0.111111,0.111111
0.307692,0.314286,0.333333,0.307692,0.333333,0.323529,0.333333,0.323529,0.323529,0.324324,0.333333
0.241379,0.250000,0.291667,0.250000,0.291667,0.291667,0.291667,0.291667,0.291667,0.259259,0.291667
0.266667,0.304348,0.318182,0.266667,0.275862,0.285714,0.318182,0.318182,0.318182,0.275862,0.318182
0.285714,0.238095,0.238095,0.294118,0.294118,0.238095,0.238095,0.238095,0.238095,0.238095,0.238095
0.258065,0.269231,0.272727,0.258065,0.266667,0.285714,0.285714,0.285714,0.285714,0.266667,0.285714
